,blockNumber,timestamp,pool,assets,shares,owner_id,token,decimals
1180,7876917,1702543181,DEEZ-NUTS-100bps,2,5.4945E+19,0x98a7e30247c387d2adcec653a4c8c325cb18d679,DEEZ,18
336,7889524,1702568395,DEEZ-NUTS-100bps,3,4.99001E+19,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,DEEZ,18
368,7889538,1702568423,DEEZ-NUTS-100bps,3,4.995E+19,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,NUTS,18
1181,7890325,1702569997,DEEZ-NUTS-100bps,2,5.48901E+19,0x98a7e30247c387d2adcec653a4c8c325cb18d679,NUTS,18
1134,7891505,1702572357,DEEZ-NUTS-100bps,3,4987391187857142857,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,NUTS,18
1251,7891510,1702572367,DEEZ-NUTS-100bps,3,4987628807142857142,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,DEEZ,18
468,8104635,1702998617,DEEZ-NUTS-100bps,3,4983725224928922640,0xdc64a6620c4307aa25b7b91d07f4a3a8f350b172,DEEZ,18
1287,8104943,1702999233,DEEZ-NUTS-100bps,3,67544304107489846817,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,DEEZ,18
485,8104958,1702999263,DEEZ-NUTS-100bps,3,73310042752167133774,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,NUTS,18
1431,8109257,1703007861,DEEZ-NUTS-100bps,3,85963537454207274484,0x742626cbaa066560f38221a7d7c04cc56ecd775e,DEEZ,18
272,8109260,1703007867,DEEZ-NUTS-100bps,3,50356534905636607364,0x742626cbaa066560f38221a7d7c04cc56ecd775e,NUTS,18
686,8110781,1703010909,DEEZ-NUTS-100bps,3,99546831902318562154,0x56fcc88e8c901830f1da75b375b5f74dc76863fd,DEEZ,18
876,8110783,1703010913,DEEZ-NUTS-100bps,1E+20,99615518243792835806,0x56fcc88e8c901830f1da75b375b5f74dc76863fd,NUTS,18
492,8114816,1703018979,DEEZ-NUTS-100bps,29245331021824159216,29104600977518976328,0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5,DEEZ,18
14,8997591,1704784529,DEEZ-NUTS-100bps,9.79025E+19,9.60724E+19,0x8296fab023a4a024222f31f0f71e05fbebf1750c,DEEZ,18
15,10492661,1707774669,DEEZ-NUTS-100bps,6.92707E+20,6.68342E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
16,10070505,1706930357,DEEZ-NUTS-100bps,3.79966E+20,3.6747E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
17,10454285,1707697917,DEEZ-NUTS-100bps,6.94033E+20,6.69681E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
18,9973954,1706737255,DEEZ-NUTS-100bps,1.2661E+20,1.22623E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
19,10700490,1708190327,DEEZ-NUTS-100bps,3.00E+21,2.88207E+21,0x955916640f96efcd66f4aee595e0a44700a57868,NUTS,18
20,10702448,1708194243,DEEZ-NUTS-100bps,4.38037E+22,4.20547E+22,0x955916640f96efcd66f4aee595e0a44700a57868,NUTS,18
21,10178669,1707146685,DEEZ-NUTS-100bps,1.00E+19,9.6679E+18,0x955916640f96efcd66f4aee595e0a44700a57868,NUTS,18
22,9973960,1706737267,DEEZ-NUTS-100bps,8.46957E+19,8.19288E+19,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
23,10178601,1707146549,DEEZ-NUTS-100bps,3.93557E+19,3.80946E+19,0x955916640f96efcd66f4aee595e0a44700a57868,DEEZ,18
24,10452170,1707693687,DEEZ-NUTS-100bps,2.30872E+20,2.23085E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
25,10153681,1707096709,DEEZ-NUTS-100bps,4.41029E+20,4.26967E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
26,10868862,1708527071,DEEZ-NUTS-100bps,4.995E+19,4.72748E+19,0xb811dd00f18b48229e1afc353baa45b15a48ba3d,DEEZ,18
27,8871864,1704533075,DEEZ-NUTS-100bps,1.00E+18,9.8673E+17,0xd800e6c419afa29c5d3bc8a141af6162ca40798e,NUTS,18
28,10702444,1708194235,DEEZ-NUTS-100bps,3.88007E+22,3.72485E+22,0x955916640f96efcd66f4aee595e0a44700a57868,DEEZ,18
29,10452739,1707694825,DEEZ-NUTS-100bps,1.15038E+20,1.11158E+20,0x0036900bd0d41356577047e640df0cf10edfd2a6,DEEZ,18
30,10367631,1707524609,DEEZ-NUTS-100bps,5.00E+20,4.83605E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
31,10070386,1706930119,DEEZ-NUTS-100bps,1.31132E+20,1.2682E+20,0x40c8dd5cf016ea7dc0b1d2571fbceb8eb6279f52,NUTS,18
32,10451091,1707691529,DEEZ-NUTS-100bps,3.00E+20,2.89904E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
33,10070510,1706930367,DEEZ-NUTS-100bps,1.09537E+20,1.06055E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
34,10452736,1707694819,DEEZ-NUTS-100bps,3.75959E+20,3.6282E+20,0x0036900bd0d41356577047e640df0cf10edfd2a6,NUTS,18
35,9380054,1705549455,DEEZ-NUTS-100bps,3.00E+20,2.91313E+20,0xe86d4e36124ecc84760cdc2eb2e0e7c9728c4ff0,NUTS,18
36,10163903,1707117153,DEEZ-NUTS-100bps,6.15069E+20,5.94699E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
37,10070416,1706930179,DEEZ-NUTS-100bps,4.32434E+20,4.18687E+20,0x40c8dd5cf016ea7dc0b1d2571fbceb8eb6279f52,DEEZ,18
38,10729562,1708248471,DEEZ-NUTS-100bps,2.78294E+21,2.67137E+21,0x955916640f96efcd66f4aee595e0a44700a57868,DEEZ,18
39,8716991,1704223329,DEEZ-NUTS-100bps,6.56768E+18,6.48902E+18,0x1718e06694adb7806435b70fe0c94c39b952331d,NUTS,18
40,10363117,1707515581,DEEZ-NUTS-100bps,7.08298E+20,6.85177E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
41,10163233,1707115813,DEEZ-NUTS-100bps,7.43073E+20,7.18577E+20,0x40c8dd5cf016ea7dc0b1d2571fbceb8eb6279f52,NUTS,18
42,9380109,1705549565,DEEZ-NUTS-100bps,5.00E+20,4.85224E+20,0xe86d4e36124ecc84760cdc2eb2e0e7c9728c4ff0,DEEZ,18
43,10452927,1707695201,DEEZ-NUTS-100bps,6.94643E+20,6.70351E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
44,10452332,1707694011,DEEZ-NUTS-100bps,1E+20,9.66272E+19,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
45,10454344,1707698035,DEEZ-NUTS-100bps,6.93345E+20,6.69011E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
46,10378143,1707545633,DEEZ-NUTS-100bps,5.62952E+20,5.44412E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
47,10271649,1707332645,DEEZ-NUTS-100bps,7.24307E+20,7.00805E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
48,10153624,1707096595,DEEZ-NUTS-100bps,5.61036E+20,5.42572E+20,0x40c8dd5cf016ea7dc0b1d2571fbceb8eb6279f52,NUTS,18
49,10363909,1707517165,DEEZ-NUTS-100bps,6.00E+20,5.79665E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
50,8795248,1704379843,DEEZ-NUTS-100bps,1.83E+20,1.80604E+20,0xc703998c63e8003b153e7dc72da2507de70a498d,NUTS,18
51,8814940,1704419227,DEEZ-NUTS-100bps,2.50E+20,2.46763E+20,0xe86d4e36124ecc84760cdc2eb2e0e7c9728c4ff0,NUTS,18
52,10054373,1706898093,DEEZ-NUTS-100bps,3.26786E+20,3.16428E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,DEEZ,18
53,8795252,1704379851,DEEZ-NUTS-100bps,3.33E+19,3.28278E+19,0xc703998c63e8003b153e7dc72da2507de70a498d,DEEZ,18
54,10452800,1707694947,DEEZ-NUTS-100bps,6.96022E+20,6.71694E+20,0xdad099fa0ceb99a7c0c0bb4cfa4b8151be9f4306,NUTS,18
55,10859668,1708508683,DEEZ-NUTS-100bps,1.94083E+22,1.84243E+22,0x955916640f96efcd66f4aee595e0a44700a57868,DEEZ,18
56,10859672,1708508691,DEEZ-NUTS-100bps,1.86207E+22,1.77843E+22,0x955916640f96efcd66f4aee595e0a44700a57868,NUTS,18
